30,30.433,4
30.5,31.133,2
31.167,31.967,1
32.167,33.733,2
33.8,34.433,1
34.5,35,3
35.133,35.533,2
35.633,37.067,4
37.167,39.433,2
39.6,40.267,2
41.433,42.733,2
43.233,46.7,1
46.833,51.5,2
53.233,56.033,1
56.167,56.667,3
56.7,56.8,2
57.167,58.467,1
61.833,62.867,3
63.167,63.667,1
63.8,66.733,3
68.633,69.667,1
70,70.367,1
70.633,71.267,3
71.3,76.2,2
77.067,77.8,2
78.233,78.5,3
78.533,79.533,2
79.633,79.733,3
79.867,80.533,2
80.833,81.133,3
81.2,81.467,2
81.567,82.1,1
83.7,86.733,1
87.167,88.7,4
88.833,89.233,3
89.3,94.633,2
94.733,95.933,4
97.1,102.27,1
103.7,105.97,1
107.37,107.77,4
107.9,110.17,3
110.6,111.2,1
111.27,117.97,2
118.13,118.33,2
118.83,120.07,2
121.67,121.87,1
151,153,4
155.7,156,3
156.03,160.47,1
160.63,161.57,1
162,164.87,1
167.27,168.57,1
168.6,169.53,3
169.7,171.2,4
171.93,173.3,1
173.7,175.37,2
175.47,176.77,4
176.83,182.13,2
185.73,186.23,2
186.27,190.07,4
190.23,190.33,2
190.6,191.63,2
192.07,193.9,4
194,198.83,2
228.37,232.5,2
232.67,234.77,1
235.07,235.4,2
236.63,238.3,2
238.5,240.9,4
241.13,242.13,4
242.27,242.87,4
242.9,243.37,2
243.4,245.4,4
250,255.43,2
255.47,257.3,3
257.4,257.6,3
257.8,258.2,3
258.23,258.77,2
259.07,261.2,4
261.23,261.6,3
261.67,263.57,2
263.6,264.17,3
264.2,264.63,4
265.57,267.57,2
268.03,268.5,3
268.53,270.43,4
272.53,274.2,1
